Province,District,Polling Division,Name,Votes,Percent
Central Province,MAHANUWARA,GALAGEDARA,Aithurus Mohamed Illias,47,0.11%
Central Province,MAHANUWARA,GALAGEDARA,Ibrahim Miflar,44,0.11%
Central Province,MAHANUWARA,GALAGEDARA,Prasanna Priyankara,11,0.03%
Central Province,MAHANUWARA,GALAGEDARA,Wimal Geeganage,8,0.02%
Central Province,MAHANUWARA,GALAGEDARA,Sirithunga Jayasuriya,39,0.09%
Central Province,MAHANUWARA,GALAGEDARA,M. B. Theminimulla,15,0.04%
Central Province,MAHANUWARA,GALAGEDARA,Pani Wijesiriwardane,16,0.04%
Central Province,MAHANUWARA,GALAGEDARA,Duminda Nagamuwa,26,0.06%
Central Province,MAHANUWARA,GALAGEDARA,Panagoda Don Prince Soloman Anura Liyanage,46,0.11%
Central Province,MAHANUWARA,GALAGEDARA,Maithripala Sirisena,"19,818",47.39%
Central Province,MAHANUWARA,GALAGEDARA,Ruwanthilaka Peduru Arachchi,42,0.10%
Central Province,MAHANUWARA,GALAGEDARA,Anuruddha Polgampala,22,0.05%
Central Province,MAHANUWARA,GALAGEDARA,Baththaramulle Seelarathana Thero,10,0.02%
Central Province,MAHANUWARA,GALAGEDARA,Sarath Manamendra,30,0.07%
Central Province,MAHANUWARA,GALAGEDARA,Arachchige Rathnayaka Sirisena,79,0.19%
Central Province,MAHANUWARA,GALAGEDARA,Mahinda Rajapaksa,"21,466",51.34%
Central Province,MAHANUWARA,GALAGEDARA,Namal Rajapaksa,72,0.17%
Central Province,MAHANUWARA,GALAGEDARA,Sundaram Mahendran,19,0.05%
Central Province,MAHANUWARA,GALAGEDARA,Jayantha Kulathunga,5,0.01%
Central Province,MAHANUWARA,GALAGEDARA,Valid Votes,"41,815",99.08%
Central Province,MAHANUWARA,GALAGEDARA,Rejected Votes,390,0.92%
Central Province,MAHANUWARA,GALAGEDARA,Total Polled,"42,205",77.85%
Central Province,MAHANUWARA,GALAGEDARA,Regis.Electors,"54,214",
Central Province,MAHANUWARA,HARISPATTUWA,Aithurus Mohamed Illias,108,0.09%
Central Province,MAHANUWARA,HARISPATTUWA,Ibrahim Miflar,117,0.09%
Central Province,MAHANUWARA,HARISPATTUWA,Prasanna Priyankara,19,0.02%
Central Province,MAHANUWARA,HARISPATTUWA,Wimal Geeganage,10,0.01%
Central Province,MAHANUWARA,HARISPATTUWA,Sirithunga Jayasuriya,82,0.07%
Central Province,MAHANUWARA,HARISPATTUWA,M. B. Theminimulla,46,0.04%
Central Province,MAHANUWARA,HARISPATTUWA,Pani Wijesiriwardane,35,0.03%
Central Province,MAHANUWARA,HARISPATTUWA,Duminda Nagamuwa,121,0.10%
Central Province,MAHANUWARA,HARISPATTUWA,Panagoda Don Prince Soloman Anura Liyanage,148,0.12%
Central Province,MAHANUWARA,HARISPATTUWA,Maithripala Sirisena,"71,533",57.69%
Central Province,MAHANUWARA,HARISPATTUWA,Ruwanthilaka Peduru Arachchi,119,0.10%
Central Province,MAHANUWARA,HARISPATTUWA,Anuruddha Polgampala,37,0.03%
