Province,District,Polling Division,Name,Votes,Percent
"Central Province  (MAHANUWARA, MATALE, NUWARA-ELIYA)",KANDY,GALAGEDARA,Mahinda Rajapaksha,"22,703",58.46%
"Central Province  (MAHANUWARA, MATALE, NUWARA-ELIYA)",KANDY,GALAGEDARA,Sarath Fonseka,"15,338",39.49%
"Central Province  (MAHANUWARA, MATALE, NUWARA-ELIYA)",KANDY,GALAGEDARA,Mohomad Cassim Mohomad Ismail,170,0.44%
"Central Province  (MAHANUWARA, MATALE, NUWARA-ELIYA)",KANDY,GALAGEDARA,Achala Ashoka Suraweera,120,0.31%
"Central Province  (MAHANUWARA, MATALE, NUWARA-ELIYA)",KANDY,GALAGEDARA,Channa Janaka Sugathsiri Gamage,84,0.22%
"Central Province  (MAHANUWARA, MATALE, NUWARA-ELIYA)",KANDY,GALAGEDARA,Panagoda Don Prince Soloman Anura Liyanage,75,0.19%
"Central Province  (MAHANUWARA, MATALE, NUWARA-ELIYA)",KANDY,GALAGEDARA,W.V. Mahiman Ranjith,59,0.15%
"Central Province  (MAHANUWARA, MATALE, NUWARA-ELIYA)",KANDY,GALAGEDARA,Ukkubanda Wijekoon,42,0.11%
"Central Province  (MAHANUWARA, MATALE, NUWARA-ELIYA)",KANDY,GALAGEDARA,Sarath Manamendra,36,0.09%
"Central Province  (MAHANUWARA, MATALE, NUWARA-ELIYA)",KANDY,GALAGEDARA,Lal Perera,30,0.08%
"Central Province  (MAHANUWARA, MATALE, NUWARA-ELIYA)",KANDY,GALAGEDARA,Idroos Mohomad Ilyas,30,0.08%
"Central Province  (MAHANUWARA, MATALE, NUWARA-ELIYA)",KANDY,GALAGEDARA,Sirithunga Jayasuriya,28,0.07%
"Central Province  (MAHANUWARA, MATALE, NUWARA-ELIYA)",KANDY,GALAGEDARA,M.K. Sivajilingam,19,0.05%
"Central Province  (MAHANUWARA, MATALE, NUWARA-ELIYA)",KANDY,GALAGEDARA,Vickramabahu Karunaratna,17,0.04%
"Central Province  (MAHANUWARA, MATALE, NUWARA-ELIYA)",KANDY,GALAGEDARA,Mohamed Musthaffa,14,0.04%
"Central Province  (MAHANUWARA, MATALE, NUWARA-ELIYA)",KANDY,GALAGEDARA,Aruna de Zoysa,13,0.03%
"Central Province  (MAHANUWARA, MATALE, NUWARA-ELIYA)",KANDY,GALAGEDARA,Sanath Pinnaduwa,13,0.03%
"Central Province  (MAHANUWARA, MATALE, NUWARA-ELIYA)",KANDY,GALAGEDARA,Battaramulle Seelarathana Thero,13,0.03%
"Central Province  (MAHANUWARA, MATALE, NUWARA-ELIYA)",KANDY,GALAGEDARA,Muthu Bandara Theminimulla,13,0.03%
"Central Province  (MAHANUWARA, MATALE, NUWARA-ELIYA)",KANDY,GALAGEDARA,Wije Dias,10,0.03%
"Central Province  (MAHANUWARA, MATALE, NUWARA-ELIYA)",KANDY,GALAGEDARA,Senaratna de Silva,6,0.02%
"Central Province  (MAHANUWARA, MATALE, NUWARA-ELIYA)",KANDY,GALAGEDARA,Upali Sarath Kongahage,3,0.01%
"Central Province  (MAHANUWARA, MATALE, NUWARA-ELIYA)",KANDY,GALAGEDARA,Valid Votes,"38,836",99.23%
"Central Province  (MAHANUWARA, MATALE, NUWARA-ELIYA)",KANDY,GALAGEDARA,Rejected Votes,300,0.77%
"Central Province  (MAHANUWARA, MATALE, NUWARA-ELIYA)",KANDY,GALAGEDARA,Total Polled,"39,136",74.47%
"Central Province  (MAHANUWARA, MATALE, NUWARA-ELIYA)",KANDY,GALAGEDARA,Regis.Electors,"52,553",
"Central Province  (MAHANUWARA, MATALE, NUWARA-ELIYA)",KANDY,HARISPATTUWA,Mahinda Rajapaksha,"56,508",51.50%
"Central Province  (MAHANUWARA, MATALE, NUWARA-ELIYA)",KANDY,HARISPATTUWA,Sarath Fonseka,"51,406",46.85%
"Central Province  (MAHANUWARA, MATALE, NUWARA-ELIYA)",KANDY,HARISPATTUWA,Mohomad Cassim Mohomad Ismail,277,0.25%
"Central Province  (MAHANUWARA, MATALE, NUWARA-ELIYA)",KANDY,HARISPATTUWA,Achala Ashoka Suraweera,249,0.23%
"Central Province  (MAHANUWARA, MATALE, NUWARA-ELIYA)",KANDY,HARISPATTUWA,Channa Janaka Sugathsiri Gamage,240,0.22%
"Central Province  (MAHANUWARA, MATALE, NUWARA-ELIYA)",KANDY,HARISPATTUWA,W.V. Mahiman Ranjith,148,0.13%
"Central Province  (MAHANUWARA, MATALE, NUWARA-ELIYA)",KANDY,HARISPATTUWA,Sarath Manamendra,124,0.11%
